,"Prey \ predator",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
60,"Menhaden (2yr)",8.032,,,7.409,7.929,1.000,9.527,1.000,1.000,1.000,1.000,1.000,10.000,9.307,1000.0,1.000,2.000,7.498,8.662,10.000,1.000,1.000,7.499,15.00,,1.000,10000,,,,,,,,,,,,,6.652,6.549,100000000,100000000,1.000,,,10000,6.804,10.000,,,,,,,,,,,,,,,,,,,,,,,,,
61,"Menhaden (3yr)",8.032,,,7.409,7.929,1.000,9.527,1.000,1.000,1.000,1.000,1.000,10.000,9.307,1000.0,1.000,2.000,7.498,8.662,10.000,1.000,1.000,7.499,15.00,,1.000,10000,,,,,,,,,,,,,6.652,6.549,100000000,100000000,1.000,,,10000,6.804,10.000,,,,,,,,,,,,,,,,,,,,,,,,,
62,"Menhaden (4yr)",8.032,,,7.409,7.929,1.000,1.000,1.000,1.000,1.000,1.000,1.000,10.000,9.307,1000.0,1.000,2.000,7.498,8.662,10.000,1.000,1.000,7.499,15.00,,1.000,10000,,,,,,,,,,,,,6.652,6.549,100000000,100000000,1.000,,,10000,6.804,10.000,,,,,,,,,,,,,,,,,,,,,,,,,
63,Anchovy-silverside-killifish,8.032,2.000,2.000,7.409,7.929,1.000,1.000,1.000,1.000,1.000,1.000,1.000,10.000,9.307,1000.0,1.000,2.000,7.498,8.662,2.000,1.000,1.000,1.000,15.00,5.389,1.000,,7.744,,2.000,,8.737,8.591,8.215,1000.0,1.000,100.00,,10.000,1.000,6.549,100000000,100000000,1.000,1000.0,22.00,10000,4.000,10.000,,,1000.0,,5.265,,,2.000,,,,,,1.500,,,100000,,,,5.294,,,,
64,Mullet,8.032,,,7.409,7.929,1.000,9.527,1.000,1.000,1.000,1.000,1.000,10.000,9.307,1000.0,1.000,,7.498,8.662,10.000,1.000,1.000,7.499,15.00,5.389,,10000,,,,,8.737,,,,,,,10.000,6.652,6.549,100000000,100000000,1.000,1000.0,,10000,6.804,,,,,,,,,,,,,,,,,,,,,,5.294,,,,
65,Butterfish,8.032,2.000,2.000,7.409,7.929,1.000,1.000,1.000,1.000,1.000,1.000,1.000,10.000,9.307,1000.0,1.000,2.000,7.498,8.662,10.000,1.000,1.000,7.499,15.00,5.389,,,,,,,,8.591,,1000.0,1.000,100.00,,10.000,6.652,,,100000000,1.000,,,10000,,,7.217,,,,,,,,,,,,,,,,,,,,,,,,
66,Cephalopod,8.032,2.000,2.000,7.409,7.929,1.000,1.000,1.000,1.000,1.000,1.000,1.000,10.000,9.307,1000.0,1.000,2.000,7.498,8.662,10.000,1.000,1.000,7.499,15.00,5.389,1.000,10000,7.744,7.525,2.000,6.735,8.737,8.591,8.215,1000.0,1.000,100.00,6.032,10.000,1.000,6.549,100000000,100000000,1.000,1000.0,22.00,10000,4.000,10.000,1.000,2.000,1000.0,,5.265,7.001,6.697,2.000,,,,,,,,,1000.0,,,,5.294,,100000,,
67,"Pink shrimp",8.032,,,7.409,7.929,1.000,1.000,1.000,1.000,1.000,1.000,1.000,10.000,9.307,1000.0,1.000,2.000,7.498,8.662,10.000,1.000,1.000,7.499,15.00,5.389,1.000,10000,7.744,7.525,2.000,6.735,8.737,8.591,8.215,1000.0,1.000,100.00,6.032,10.000,6.652,6.549,100000000,100000000,1.000,1000.0,22.00,10000,6.804,10.000,7.217,2.000,1000.0,4.436,5.265,,6.697,2.000,,,,,,1.500,,4.800,,,,,5.294,,,,
68,"Brown shrimp",8.032,,,7.409,7.929,1.000,1.000,1.000,1.000,1.000,1.000,1.000,10.000,9.307,1000.0,1.000,2.000,7.498,8.662,10.000,1.000,1.000,7.499,15.00,5.389,1.000,10000,7.744,7.525,2.000,6.735,8.737,8.591,8.215,1000.0,1.000,100.00,6.032,10.000,6.652,6.549,100000000,100000000,1.000,1000.0,22.00,10000,6.804,10.000,7.217,2.000,1000.0,4.436,5.265,,6.697,2.000,,,,,,1.500,,4.800,,,,,5.294,,,,
69,"White shrimp",8.032,,,7.409,7.929,1.000,1.000,1.000,1.000,1.000,1.000,1.000,10.000,9.307,1000.0,1.000,2.000,7.498,8.662,10.000,1.000,1.000,7.499,15.00,5.389,1.000,10000,7.744,7.525,2.000,6.735,8.737,8.591,8.215,1000.0,1.000,100.00,6.032,10.000,6.652,6.549,100000000,100000000,1.000,1000.0,22.00,10000,6.804,10.000,7.217,2.000,1000.0,4.436,5.265,,6.697,2.000,,,,,,1.500,,4.800,,,,,5.294,,,,
70,Crab,8.032,,,7.409,7.929,1.000,1.000,9.008,1.000,1.000,1.000,1.000,20.00,9.307,1000.0,1.000,2.000,7.498,8.662,2.000,,1.000,7.499,15.00,5.389,1.000,10000,7.744,7.525,2.000,6.735,8.737,8.591,8.215,1000.0,1.000,100.00,6.032,10.000,1.000,6.549,100000,1000.0,1.000,1000.0,2.000,1000.0,6.804,10.000,1.000,2.000,100.00,4.436,5.265,,,2.000,,,,,,,,,,,,,5.294,,,,
71,"Sessile epifauna",,,,7.409,7.929,,1.000,1.000,1.000,1.000,1.000,1.000,10.000,9.307,1000.0,1.000,,7.498,8.662,10.000,,,,,5.389,1.000,10000,7.744,7.525,2.000,6.735,,8.591,8.215,1000.0,1.000,100.00,6.032,10.000,6.652,6.549,100000000,100000000,1.000,1000.0,22.00,10000,4.000,10.000,1.000,2.000,1000.0,4.436,5.265,,,2.000,,,,,,1.500,,4.800,,3.265,1.467,8.000,,,100000,,
72,"Mobile epifauna",8.032,,2.000,7.409,7.929,1.000,1.000,9.008,8.996,1.000,1.000,1.000,20.00,9.307,1000.0,1.000,2.000,7.498,8.662,2.000,1.000,1.000,7.499,15.00,5.389,1.000,10000,7.744,7.525,2.000,2.000,8.737,8.591,8.215,1000.0,1.000,100.00,6.032,10.000,1.000,6.549,100000,1000.0,1.000,1000.0,1.000,1000.0,4.000,10.000,1.000,2.000,100.00,4.436,5.265,7.001,6.697,2.000,2.000,1.000,2.366,10.000,10.000,1.500,3.133,4.800,1000.0,3.265,1.467,5.000,5.294,1.252,100000,,1.411
73,Zooplankton,8.032,2.000,2.000,7.409,7.929,1.000,1.000,1.000,1.000,1.000,1.000,1.000,10.000,9.307,1000.0,1.000,2.000,7.498,8.662,10.000,1.000,1.000,7.499,15.00,5.389,1.000,10000,7.744,7.525,2.000,,8.737,8.591,8.215,1000.0,1.000,100.00,6.032,10.000,1.000,6.549,100000000,100000000,1.000,1000.0,22.00,10000,6.804,10.000,1.000,2.000,1000.0,4.436,5.265,7.001,6.697,2.000,2.000,1.000,2.366,10.000,10.000,1.500,3.133,4.800,1000.0,,,,,1.252,,1.421,
74,Infauna,8.032,,,7.409,7.929,1.000,2.000,1.000,1.000,1.000,1.000,1.000,10.000,9.307,1000.0,1.000,2.000,7.498,8.662,10.000,,1.000,7.499,15.00,5.389,1.000,10000,7.744,7.525,2.000,2.000,8.737,8.591,8.215,1000.0,1.000,100.00,6.032,10.000,1.000,6.549,100000000,100000000,1.000,1000.0,22.00,10000,6.804,10.000,1.000,2.000,1000.0,4.436,5.265,,6.697,2.000,2.000,1.000,2.366,10.000,10.000,1.500,3.133,4.800,1000.0,10.000,1.467,8.000,3.000,1.252,100000,,1.411
75,Algae,8.032,,,,7.929,1.000,,1.000,1.000,1.000,1.000,1.000,10.000,9.307,1000.0,1.000,,7.498,,,,,,,5.389,1.000,,,,,,,,,1000.0,1.000,100.00,6.032,10.000,6.652,6.549,100000000,100000000,1.000,,22.00,10000,6.804,10.000,,2.000,1000.0,4.436,5.265,,,2.000,2.000,1.000,2.366,10.000,10.000,1.500,3.133,4.800,,3.265,1.467,8.000,5.294,,100000,,
